Concept,Journal Prompt,Action 1 (Internal/Reflective),Action 2 (External/Relational),Imagery Idea 1,Imagery Idea 2
Joy,What brings you delight that you don't allow yourself enough of?,Schedule dedicated time this week for something that brings you pure joy.,"Notice and fully savor one simple pleasure today—a taste, sound, sight, or sensation.",A dancing explosion of confetti and glitter,A child with wide eyes surrounded by floating bubbles of laughter
Kindness,How can you be gentle with yourself or someone else today?,Notice your self-talk and replace one critical thought with a kind one.,Do something thoughtful for someone without them knowing it was you.,"A gentle, oversized hand offering a soft blanket to a small creature",A garden blooming with heart-shaped flowers
Learning,What would you love to learn or understand better?,Dedicate 20 minutes to learning something new that genuinely interests you.,Ask someone with expertise in something you're curious about to teach you something.,"A stack of whimsical, colorful books with glowing pages",A lightbulb above an open brain filled with swirling ideas
Letting Go,What are you clinging to that's preventing something new from arriving?,"Write down something you're ready to release, then tear up the paper or delete the note.","Clear out one physical space (drawer, closet, digital folder) and notice how it feels.",A hand opening to release a glowing butterfly,Autumn leaves falling gracefully from a vibrant tree
Listening,How often do you truly listen versus waiting for your turn to talk?,"In your next conversation, focus entirely on understanding without planning your response.","Ask someone ""What's important to you right now?"" and simply listen for 5 minutes.","A large, colorful ear collecting shimmering sound waves","Two people facing each other with vibrant, open hearts"
Love,How are you withholding love from yourself or others?,Identify one way you can love yourself better and take one action toward it.,Express love to someone in the specific way they most feel loved.,"An overflowing, glowing heart radiating warmth and colorful light",A gentle embrace creating a rainbow aura
Meaning,What gives your life purpose and significance?,Reflect on moments when you've felt that what you're doing truly matters.,Engage in one activity today that feels meaningful rather than merely productive.,A glowing thread weaving through life's experiences,A person discovering a hidden treasure in the ordinary
Mindfulness,Where did your mind wander today when your body was somewhere else?,Practice 5 minutes of focused attention on your breath or a simple task.,"Eat one meal with full attention to taste, texture, and sensation.","A calm, still pond reflecting a vibrant, detailed world","A person sitting peacefully amid a swirling storm, holding a glowing anchor"
Mystery,What do you not need to understand or control right now?,Sit with an unanswered question without trying to solve it.,"Share something you don't understand with someone, exploring it together without needing answers.","A doorway opening into swirling, glowing cosmos","A figure gazing into an infinite, starry expanse"
Patience,What are you rushing that needs more time?,Practice waiting calmly in one situation today without checking your phone or distracting yourself.,Focus on a long-term goal without needing to see immediate results.,A colorful seedling slowly unfurling its leaves toward the sun,A gentle river carving a path through solid rock
Perspective,What story are you telling yourself that might not be the whole truth?,Write about a current challenge from three completely different viewpoints.,"Ask ""What else could be true about this?"" when you feel certain about something.","A kaleidoscope rotating to reveal new, vibrant patterns","A hot air balloon hovering above a landscape, offering a wide view"
Play,When was the last time you did something just for fun?,Spend 15 minutes on a playful activity with no purpose beyond enjoyment.,Introduce an element of silliness or lightness into a routine task.,A cascade of colorful bubbles and balloons,A person joyfully dancing through a vibrant meadow
Possibility,"What ""impossible"" dream are you dismissing too quickly?",Brainstorm 10 unlikely solutions to a challenge without judging any of them.,Take one tiny step toward something you want but haven't let yourself pursue.,A key unlocking a gate to a swirling galaxy of stars,"A person painting a vibrant, fantastical world onto a blank canvas"
Presence,Who or what deserves your full attention that you've been only half-seeing?,Put away all devices and give someone or something your complete attention for 10 minutes.,Notice when your mind wanders during a conversation and gently bring it back.,"Two colorful figures with glowing auras, truly seeing each other","A spotlight shining on a single, focused moment amid a busy scene"
Purpose,What matters so much to you that you'd do it even if no one noticed?,Reflect on your core values and how they connect to how you spend your time.,Take one action today that aligns with your deeper sense of purpose.,A shining star guiding a colorful ship across a night sky,"A person standing tall, illuminated by a glowing inner compass"
Reciprocity,Where are you giving too much or receiving too little?,Notice the balance of give and take in your relationships—what needs adjusting?,Practice receiving graciously when someone offers help or a compliment.,Two figures passing a glowing object back and forth,"A balanced, flowing exchange of colorful energy"
Reflection,What are you avoiding looking at?,"Spend 15 minutes journaling about your day, noting patterns or insights.",Review a recent decision or experience and identify one lesson you learned.,"A calm, shimmering pool reflecting a thoughtful moon",A mirror showing a person's inner glow and wisdom
Renewal,What needs to die so something new can be born?,Engage in an activity that helps you feel refreshed and restored.,Take a break from something draining to create space for new energy.,A vibrant phoenix rising from colorful ashes,"A spring flower unfurling after winter, radiating new energy"
Resilience,What has trying to break you actually made you stronger?,Recall a past challenge you survived and acknowledge the strength it revealed.,"When facing a setback, identify one small action you can take to move forward.","A flexible, colorful tree bending in strong wind but not breaking",A ball bouncing back higher after hitting the ground
Responsibility,Where are you blaming circumstances for something you could change?,Identify one area where you're playing victim and commit to taking ownership.,"Communicate a boundary or expectation clearly, taking responsibility for your needs.",A person confidently holding the reins of a vibrant hot air balloon,A character catching a falling ball with a knowing smile
Rest,How are you resisting the rest you need?,Give yourself permission to truly rest for 30 minutes without guilt or productivity.,Go to bed 30 minutes earlier than usual tonight.,A figure curled peacefully in a glowing hammock,"A sleeping creature surrounded by protective, shimmering light"
Reverence,What deserves your respect and wonder that you've been taking for granted?,"Spend time in nature or with something beautiful, approaching it with awe.",Treat an ordinary moment or object as sacred—what do you notice?,"A figure bowing before a towering, ancient tree","Hands held in prayer before a simple, glowing flower"
Self-Compassion,How are you treating yourself more harshly than you'd treat a friend?,Write yourself a compassionate letter about a current struggle.,Notice critical self-talk and replace it with what you'd say to someone you love.,"A warm, glowing hand gently cradling a bruised heart","A person giving themselves a cozy, colorful hug"
Silence,When did you last experience true quiet?,"Sit in complete silence for 10 minutes, noticing what arises.",Create one pocket of silence in your day by turning off all sound.,"An empty, peaceful space with a single glowing candle","A figure with closed eyes, surrounded by soundless stars"
Simplicity,What are you overcomplicating?,"Identify one area of your life and ask: ""What's the simplest way?""","Remove one unnecessary commitment, possession, or complexity from your life.","A single, perfect line drawn with intention","A clear, uncluttered space with one beautiful object"
Sovereignty,Where are you giving your power away?,"Make one decision today based purely on your inner wisdom, not others' opinions.",Set a boundary that protects your autonomy and wellbeing.,"A person wearing a vibrant, glowing crown of self-power","A unique, colorful flag planted firmly on a personal island"
Spaciousness,Where do you need more room to breathe?,Take three deep breaths and consciously create space between your thoughts.,"Declutter one physical or digital space, noticing the lightness it creates.","A vast, open sky with wisps of colorful clouds","A serene, empty room with a single glowing cushion"
Stillness,What are you avoiding by staying busy?,"Practice 5 minutes of complete stillness, without meditation or agenda.","Sit quietly in nature for 10 minutes, simply observing.","A calm, perfectly still lake reflecting a starry night","A gentle, quiet light radiating peace"
Strength,What challenges have revealed your resilience?,Acknowledge one way you're stronger than you give yourself credit for.,Use your strength to support someone who needs it right now.,A figure lifting a glowing weight with ease,Roots growing deep and strong beneath a vibrant tree
Surrender,What are you trying to control that isn't yours to control?,Identify one thing you're trying to force and practice letting it be.,Ask for help with something you've been trying to manage alone.,A figure floating peacefully in a starry river,Hands releasing a bird into open sky
Transformation,What part of you is ready to evolve?,Visualize yourself having changed in a way you desire—how does it feel?,Take one action today that your future self will thank you for.,A vibrant cocoon opening to reveal a dazzling butterfly,"A bridge arching over a dramatic, colorful chasm"
Trust,Where is your lack of trust keeping you small or stuck?,"Identify one act of self-trust you can take today (following intuition, honoring a boundary).",Delegate something you usually control and trust someone else to handle it.,A colorful bridge forming across a shimmering chasm,"Two characters holding hands and leaning back, fully supported"
Truth,What are you pretending not to see?,Write down one truth you've been avoiding and sit with how it feels.,"Speak a truth you've been withholding, even if your voice shakes.","A mirror reflecting what's really there, not what we wish",Light breaking through cracks in a facade
Uncertainty,What would become possible if you could be okay with not knowing?,Practice sitting with uncertainty for 10 minutes without reaching for answers.,Try something new without researching or planning every detail first.,"A foggy path with glimpses of vibrant, unknown landscapes",A person confidently stepping into colorful mist
Understanding,Who have you judged without truly trying to understand?,"Ask someone why they believe or do something you disagree with, with genuine curiosity.",Seek to understand before being understood in your next disagreement.,A puzzle coming together to reveal a beautiful picture,A light illuminating hidden connections
Vulnerability,What are you protecting yourself from by staying armored?,Share a fear or insecurity with someone you trust.,Allow yourself to be seen imperfectly rather than striving to appear flawless.,"A delicate, glowing bubble held gently in an open hand","A person with a transparent heart, revealing true feelings"
Wholeheartedness,Where are you holding back or half-committing?,Choose one task and do it with full attention and effort.,Show up more fully in an area where you've been holding back.,"A vibrant, overflowing heart radiating colorful light",A person diving fully into a swirling pool with a joyful splash
Wisdom,What do you know now that you wish you'd known sooner?,Reflect on a lesson learned from a past mistake or challenge.,Seek counsel from someone whose judgment you respect.,"An ancient, glowing tree with deep roots and shimmering leaves",A wise owl with eyes that sparkle with understanding
Wonder,What have you stopped marveling at?,Observe something familiar as if seeing it for the first time.,Ask a child what amazes them and try to see it through their eyes.,A figure gazing up at a sky filled with impossible colors,A magnifying glass revealing infinite detail in something tiny
,,,,,
SUGGESTED ADDITIONS:,,,,,
,,,,,
"Breath - Essential to mindfulness practices, physical anchor",,,,,
Choice - Personal agency and decision-making,,,,,
Compassion - Related to empathy but distinct (outward-focused caring action),,,,,
Creativity - From Artist's Way influence,,,,,
Grace - Allowing imperfection in self and others,,,,,
Grief - Important shadow emotion often avoided,,,,,
Growth - Different from evolution (more immediate development),,,,,
Humor - Lightness and perspective,,,,,
Letting Go - Distinct from forgiveness (release without requiring understanding),,,,,
"Meaning - From ""Flow"" influence",,,,,
Mystery - Comfort with the unknown,,,,,
Reciprocity - Balance in relationships,,,,,
Rest - Countercultural but essential,,,,,
Reverence - Sacred approach to ordinary life,,,,,
Silence - Powerful practice often overlooked,,,,,
Simplicity - Cutting through complexity,,,,,
Strength - Recognizing inner resources,,,,,
Surrender - Different from acceptance (active release vs. passive allowing),,,,,
Truth - Personal truth-telling,,,,,
Understanding - Seeking to comprehend vs. judge,,,,,
Wonder - Childlike awe and curiosity,,,,,
,,,,,
CONSOLIDATED/REMOVED:,,,,,
,,,,,
eXpansion → Merged into Growth/Evolution,,,,,
Enquiry/Inquiry/Questions → Consolidated to one: Curiosity (includes questioning),,,,,
Daring → Merged into Courage (too similar),,,,,
Now → Merged into Presence (same concept),,,,,
,,,,,
"This gives you 70 cards total (original 50 minus 4 duplicates, plus 21 additions, minus 3 consolidated = 64, I've included 70 in the table above).",,,,,
,,,,,
"This creates a more complete consciousness practice toolkit with better balance between light and shadow, internal and external, being and doing.",,,,,
AL,,,,,
,,,,,
Please spin up a PRD for me to give antigravity to incorporate into my existing site project. Include some wow components for development. I don’t envision people writing on the site. Main goal is prompts for journals and reflection. Future idea is to make physical cards for purchase. Or notebooks.,,,,,
Conscious Cards: Product Requirements Document,,,,,
Document,,,,,
# Conscious Cards: Product Requirements Document ## Executive Summary Conscious Cards is a daily practice tool that combines consciousness-based journaling prompts with actionable steps to deepen self-awareness and intentional living. The web exper,,,,,
,,,,,
I've created a comprehensive PRD for your Conscious Cards project! Here are the highlights:,,,,,
,,,,,
Key WOW Components I've included:,,,,,
3D Card Interactions - Cards that respond to mouse/touch with realistic tilt and holographic shimmer,,,,,
Generative Background - Ambient particles that respond to each card's theme,,,,,
Progressive Disclosure Animation - Beautiful multi-stage reveal (concept → prompt → actions),,,,,
Constellation View - Your favorites visualized as connected stars,,,,,
Journey Map - Visual path through curated multi-day sequences,,,,,
"Smart Shuffle Algorithm - Never repeats cards too soon, learns your preferences",,,,,
Share as Image - Generate beautiful shareable graphics,,,,,
Strategic Decisions Made:,,,,,
"No on-site journaling - Keeps focus on prompts, respects that people have preferred journaling tools",,,,,
"Progressive Web App - Works offline, feels like native app",,,,,
"Mobile-first - Touch gestures, full-screen cards, optimal for phone use",,,,,
Free digital forever - Builds audience for physical product launch,,,,,
70 cards - Enough variety for meaningful practice without overwhelming,,,,,
Future Physical Product Bridge:,,,,,
,,,,,
The PRD sets up the digital experience as both:,,,,,
,,,,,
Standalone practice tool,,,,,
Preview/companion for physical deck and notebooks,,,,,
Email capture for product launch waitlist,,,,,
,,,,,
The document is ready to hand to your development team. Would you like me to elaborate on any specific section or create mockups for any of the WOW components?,,,,,
Claude is AI and can make mistakes. Please double-check responses.,,,,,
,,,,,
,,,,,
Sonnet 4.5,,,,,
